nhead	q_len	kv_len	bs	FA2	FA3	FlashMLA
128	1	128	1	27.1	20.2	28.8
128	1	128	2	27.4	20.5	28.4
128	1	128	4	28.9	23.7	28.9
128	1	128	8	28.2	22.2	32.1
128	1	128	16	28.8	23.3	34.6
128	1	128	32	30.2	24.5	38.4
128	1	128	64	53.4	38.4	60.3
128	1	128	128	98.8	65.1	104.3
128	1	128	256	167.3	104.6	175.0
128	1	1024	1	35.5	27.6	29.7
128	1	1024	2	47.4	34.1	35.1
128	1	1024	4	54.5	39.5	41.3
128	1	1024	8	55.5	40.4	53.8
128	1	1024	16	90.7	60.9	78.1
128	1	1024	32	148.7	93.5	113.8
128	1	1024	64	289.4	175.8	208.1
128	1	1024	128	567.2	340.1	357.3
128	1	1024	256	984.9	585.4	680.0
128	1	4096	1	53.4	40.0	37.1
128	1	4096	2	54.6	40.9	47.2
128	1	4096	4	88.5	59.1	68.8
128	1	4096	8	156.0	99.1	108.4
128	1	4096	16	335.8	205.6	187.7
128	1	4096	32	651.1	391.2	344.1
128	1	4096	64	1092.4	646.7	633.1
128	1	4096	128	2169.8	1280.2	1209.6
128	1	4096	256	3799.2	2232.7	2352.8
128	1	8192	1	54.0	40.4	47.7
128	1	8192	2	87.5	60.2	64.1
128	1	8192	4	154.3	98.0	101.2
128	1	8192	8	293.7	179.5	177.8
128	1	8192	16	633.6	378.3	324.3
128	1	8192	32	1276.5	759.2	623.3
128	1	8192	64	2140.2	1261.0	1190.2
128	1	8192	128	4270.7	2511.0	2315.7
128	1	8192	256	7466.3	4385.3	4594.5
128	1	16384	1	87.1	59.8	64.5
128	1	16384	2	153.8	99.0	101.4
128	1	16384	4	256.3	158.6	171.3
128	1	16384	8	559.9	335.5	317.1
128	1	16384	16	1261.2	748.4	608.3
128	1	16384	32	2546.1	1497.9	1183.0
128	1	16384	64	4260.4	2503.9	2309.8
128	1	16384	128	8510.8	4995.5	4553.0
128	1	16384	256	14886.1	8735.4	9071.2
128	1	32768	1	153.5	98.6	102.0
128	1	32768	2	255.1	159.4	171.1
128	1	32768	4	488.7	294.1	314.4
128	1	32768	8	1354.4	801.0	600.3
128	1	32768	16	2527.0	1491.1	1169.3
128	1	32768	32	5028.8	2959.8	2308.3
128	1	32768	64	8500.1	4989.1	4545.7
128	1	32768	128	16991.0	9964.9	9027.8
128	1	32768	256	29777.4	17422.7	18019.1
128	1	65536	1	253.7	158.1	171.6
128	1	65536	2	486.6	294.9	308.9
128	1	65536	4	918.3	546.4	591.8
128	1	65536	8	2944.5	1732.0	1157.8
128	1	65536	16	5009.3	2943.6	2284.5
128	1	65536	32	10024.4	5884.1	4538.7
128	1	65536	64	16982.9	9958.5	9021.7
128	1	65536	128	33953.5	19902.4	17983.1
128	1	65536	256	59407.9	34826.1	35924.2
128	1	131072	1	486.2	295.1	311.2
128	1	131072	2	918.2	546.5	591.4
128	1	131072	4	2346.9	1383.3	1151.0
128	1	131072	8	5863.0	3443.0	2282.8
128	1	131072	16	10024.8	5885.6	4534.7
128	1	131072	32	20053.8	11765.8	9016.9
128	1	131072	64	33943.1	19898.1	17972.8
128	1	131072	128	67876.5	39785.6	35882.6
128	1	131072	256	118772.1	69614.3	71717.2
64	1	128	1	26.8	19.8	28.1
64	1	128	2	27.1	20.3	28.1
64	1	128	4	27.6	20.5	28.3
64	1	128	8	29.0	23.9	29.3
64	1	128	16	28.2	22.3	32.4
64	1	128	32	29.2	23.0	34.8
64	1	128	64	31.5	25.2	39.3
64	1	128	128	55.6	39.5	62.2
64	1	128	256	102.7	66.9	106.8
64	1	1024	1	26.8	24.0	29.1
64	1	1024	2	36.1	27.5	30.2
64	1	1024	4	47.8	34.5	35.4
64	1	1024	8	55.2	39.6	41.8
64	1	1024	16	57.0	40.6	54.8
64	1	1024	32	91.9	60.7	78.5
64	1	1024	64	148.6	93.2	114.7
64	1	1024	128	288.0	175.0	208.0
64	1	1024	256	565.1	337.9	358.3
64	1	4096	1	47.7	36.8	34.2
64	1	4096	2	54.2	40.4	37.9
64	1	4096	4	56.1	41.5	47.7
64	1	4096	8	89.7	59.4	69.2
64	1	4096	16	156.0	98.9	109.0
64	1	4096	32	335.7	205.0	187.5
64	1	4096	64	650.2	389.2	342.2
64	1	4096	128	1082.4	641.0	628.8
64	1	4096	256	2157.4	1272.6	1197.9
64	1	8192	1	53.8	40.2	39.8
64	1	8192	2	56.0	41.2	48.5
64	1	8192	4	89.4	60.9	65.0
64	1	8192	8	155.5	98.1	102.5
64	1	8192	16	395.9	240.3	178.7
64	1	8192	32	632.7	379.3	325.1
64	1	8192	64	1282.4	761.5	626.5
64	1	8192	128	2145.9	1264.6	1193.1
64	1	8192	256	4279.1	2514.2	2314.1
64	1	16384	1	62.3	47.4	50.3
64	1	16384	2	89.2	60.5	65.5
64	1	16384	4	155.3	99.8	102.6
64	1	16384	8	295.5	181.2	172.1
64	1	16384	16	762.2	453.3	317.4
64	1	16384	32	1268.9	753.3	608.3
64	1	16384	64	2552.1	1498.4	1184.4
64	1	16384	128	4269.0	2516.0	2305.8
64	1	16384	256	8514.2	4994.0	4543.7
64	1	32768	1	95.2	66.8	67.7
64	1	32768	2	154.9	99.5	103.4
64	1	32768	4	257.9	160.1	171.5
64	1	32768	8	560.2	336.5	316.1
64	1	32768	16	1589.4	941.7	598.9
64	1	32768	32	2526.6	1489.4	1165.0
64	1	32768	64	5030.8	2958.8	2304.8
64	1	32768	128	8516.8	5020.3	4536.2
64	1	32768	256	16994.0	9961.7	9008.9
64	1	65536	1	161.0	105.4	106.1
64	1	65536	2	256.0	159.4	172.6
64	1	65536	4	491.1	295.7	309.7
64	1	65536	8	1354.7	802.3	593.2
64	1	65536	16	3254.9	1907.5	1157.0
64	1	65536	32	5017.2	2950.4	2286.8
64	1	65536	64	10039.7	5897.3	4542.8
64	1	65536	128	16983.2	9983.3	8994.1
64	1	65536	256	33952.2	19898.9	17940.8
64	1	131072	1	263.0	166.2	174.7
64	1	131072	2	488.6	295.9	311.7
64	1	131072	4	922.9	547.8	591.6
64	1	131072	8	2945.7	1734.0	1152.6
64	1	131072	16	6486.7	3792.3	2272.9
64	1	131072	32	10013.1	5876.4	4524.7
64	1	131072	64	20058.9	11768.1	9020.0
64	1	131072	128	33942.4	19898.1	17983.4
64	1	131072	256	67870.3	39774.6	35800.9
32	1	128	1	22.3	16.4	25.3
32	1	128	2	22.5	16.5	25.5
32	1	128	4	22.7	16.7	25.9
32	1	128	8	23.6	19.8	25.9
32	1	128	16	27.4	21.1	29.5
32	1	128	32	28.0	21.7	30.9
32	1	128	64	30.0	23.2	33.7
32	1	128	128	52.7	36.1	52.3
32	1	128	256	96.9	61.8	89.3
32	1	1024	1	22.6	19.9	26.3
32	1	1024	2	32.0	24.8	27.3
32	1	1024	4	42.9	30.5	32.4
32	1	1024	8	50.4	35.5	38.5
32	1	1024	16	52.1	37.0	50.2
32	1	1024	32	85.9	56.4	72.9
32	1	1024	64	147.2	91.6	108.9
32	1	1024	128	285.1	172.3	196.2
32	1	1024	256	560.9	332.5	338.0
32	1	4096	1	42.1	31.3	31.2
32	1	4096	2	49.9	35.9	35.0
32	1	4096	4	51.7	37.5	44.6
32	1	4096	8	85.0	56.5	65.6
32	1	4096	16	151.1	94.9	103.9
32	1	4096	32	327.1	197.0	181.0
32	1	4096	64	633.5	378.0	332.4
32	1	4096	128	1080.0	637.5	615.1
32	1	4096	256	2149.4	1263.3	1177.4
32	1	8192	1	53.1	39.4	36.8
32	1	8192	2	55.0	40.8	45.5
32	1	8192	4	84.8	56.5	61.6
32	1	8192	8	150.9	95.4	98.9
32	1	8192	16	389.1	233.2	173.1
32	1	8192	32	626.0	371.8	318.6
32	1	8192	64	1264.6	747.6	615.7
32	1	8192	128	2142.2	1260.7	1178.4
32	1	8192	256	4288.0	2504.4	2291.9
32	1	16384	1	61.3	46.8	47.3
32	1	16384	2	88.0	59.8	62.4
32	1	16384	4	151.3	95.3	99.4
32	1	16384	8	288.8	176.4	168.5
32	1	16384	16	753.1	446.9	312.0
32	1	16384	32	1259.5	742.0	600.2
32	1	16384	64	2524.6	1486.8	1174.4
32	1	16384	128	4264.9	2513.4	2290.5
32	1	16384	256	8509.0	4987.4	4522.1
32	1	32768	1	94.4	66.1	64.6
32	1	32768	2	154.1	98.7	100.2
32	1	32768	4	252.2	155.3	168.2
32	1	32768	8	553.7	331.3	312.1
32	1	32768	16	1581.7	932.7	594.9
32	1	32768	32	2514.0	1479.7	1158.1
32	1	32768	64	5006.7	2937.9	2286.9
32	1	32768	128	8499.7	4983.5	4520.1
32	1	32768	256	16988.4	9952.5	8984.1
32	1	65536	1	160.3	104.8	103.1
32	1	65536	2	255.4	158.8	169.6
32	1	65536	4	483.5	290.4	306.4
32	1	65536	8	1347.9	797.6	589.2
32	1	65536	16	3247.9	1900.7	1150.4
32	1	65536	32	4998.7	2933.9	2272.8
32	1	65536	64	10017.7	5876.7	4527.7
32	1	65536	128	17005.9	9970.2	9002.9
32	1	65536	256	33946.4	19884.9	17909.8
32	1	131072	1	262.4	165.5	171.7
32	1	131072	2	487.6	294.9	308.5
32	1	131072	4	915.1	543.4	589.1
32	1	131072	8	2939.3	1728.6	1147.9
32	1	131072	16	6459.6	3791.0	2265.4
32	1	131072	32	9999.9	5873.9	4513.6
32	1	131072	64	20035.4	11745.8	9000.1
32	1	131072	128	33980.5	19927.3	17951.8
32	1	131072	256	67866.0	39747.5	35758.8
16	1	128	1	20.2	15.4	23.8
16	1	128	2	20.4	15.6	23.8
16	1	128	4	20.4	15.8	24.2
16	1	128	8	21.1	18.0	24.3
16	1	128	16	26.8	21.0	28.4
16	1	128	32	27.4	21.6	28.7
16	1	128	64	29.4	22.6	31.1
16	1	128	128	51.2	35.6	47.2
16	1	128	256	93.7	60.2	80.5
16	1	1024	1	22.3	19.8	24.8
16	1	1024	2	29.6	23.1	25.9
16	1	1024	4	39.9	29.1	30.7
16	1	1024	8	47.8	34.4	36.6
16	1	1024	16	49.8	35.9	48.4
16	1	1024	32	83.3	54.5	69.6
16	1	1024	64	146.6	91.2	106.3
16	1	1024	128	283.7	171.9	190.5
16	1	1024	256	557.8	331.9	328.8
16	1	4096	1	41.6	31.0	29.5
16	1	4096	2	49.5	35.8	33.3
16	1	4096	4	51.3	37.2	42.8
16	1	4096	8	82.8	54.7	64.1
16	1	4096	16	148.8	93.8	101.8
16	1	4096	32	321.1	193.9	177.3
16	1	4096	64	626.8	372.8	328.0
16	1	4096	128	1079.5	637.9	610.8
16	1	4096	256	2153.5	1262.4	1167.8
16	1	8192	1	52.6	39.3	35.1
16	1	8192	2	54.9	40.9	44.0
16	1	8192	4	84.4	56.3	60.3
16	1	8192	8	148.8	93.6	96.9
16	1	8192	16	384.4	232.0	171.3
16	1	8192	32	618.3	368.7	315.3
16	1	8192	64	1259.0	741.4	609.4
16	1	8192	128	2138.4	1257.5	1168.4
16	1	8192	256	4266.4	2503.5	2282.0
16	1	16384	1	61.3	47.4	45.8
16	1	16384	2	87.8	59.9	61.2
16	1	16384	4	150.9	95.3	97.6
